SECTOR,SHELF,REEF_NAME,REEF_ID,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,YEAR_CODE,REPORT_YEAR,SAMPLE_DATE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,TOWS
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,27,201819,2019,25/02/2019,1L,1L,0,4.444,5.556,0.88,0,0,14,0.259259259,54
CA,I,GREEN ISLAND REEF,16049S,-16.758333,145.98,RM,29,202021,2021,16/01/2021,1U,1U,0,13.205,6.603,0.064,0,0,2,0.051282051,39
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,2,199394,1994,9/02/1994,1L,,0,4.595,,0,0,0,,,37
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,3,199495,1995,28/05/1995,1L,,0,6.181,,0.069,0,0,,,36
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,4,199596,1996,26/01/1996,1U,,0,8.581,,1.081,0,0,,,37
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,6,199798,1998,5/02/1998,2U,1U,1L,27.292,9.444,2.083,1,0.028,,,36
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,7,199899,1999,8/02/1999,1L,1U,0,8.542,10.486,0.972,0,0,,,36
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,10,200102,2002,22/09/2001,1L,1L,0,4.103,4.103,0.064,0,0,,,39
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,13,200405,2005,3/02/2005,1U/2L,1L,0,13.5,10.563,0.125,0,0,,,40
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RAP,14,200506,2006,22/10/2005,1U,1L,1L,12.292,10.139,1.319,0,0,0,0,36
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,15,200607,2007,20/01/2007,2L,1L,0,17.073,9.634,0.915,0,0,0,0,41
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RAP,16,200708,2008,23/08/2007,2U,1L,1L,20.571,13.643,1.286,0,0,0,0,35
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,17,200809,2009,3/01/2009,3L,1L/1U,1L,31.25,14.188,2.063,0,0,2,0.05,40
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RAP,18,200910,2010,25/11/2009,3L,1L,1L,31.711,10.066,1.645,0,0,3,0.078947368,38
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RAP,20,201112,2012,3/03/2012,2U,1U,1L,21.646,15.732,1.524,0,0,6,0.146341463,41
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,25,201617,2017,19/12/2016,2U,2L,1L,23.257,18.75,1.776,0,0,2,0.052631579,38
CA,I,FITZROY ISLAND REEF,16054S,-16.925,145.983333,RM,29,202021,2021,17/01/2021,3L,2L,1L,34.063,17.431,1.458,0,0,1,0.027777778,36
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,4,199596,1996,9/01/1996,2L,,1L,19.963,,1.985,10,0.147,,,68
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,5,199697,1997,30/01/1997,2U,,1L,25.909,,1.883,9,0.117,,,77
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,6,199798,1998,29/01/1998,2L,1L,1L,17.095,6.554,2.534,23,0.311,,,74
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,7,199899,1999,27/01/1999,2L,1L,1L,22.644,7.011,2.443,11,0.126,,,87
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,8,199900,2000,26/01/2000,2U,1L,1L,31.128,10.938,3.021,8,0.111,,,72
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,9,200001,2001,3/02/2001,2U,1L,1L,25.194,6.796,2.254,7,0.099,,,71
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,11,200203,2003,28/10/2002,2L,1L,1L,17.388,3.582,2.09,0,0,,,67
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,12,200304,2004,8/01/2004,2L,1L,1L,15.617,4.253,2.468,0,0,,,77
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RAP,14,200506,2006,17/10/2005,2L,1L,1L,15,5.333,1.667,0,0,12,0.16,75
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,15,200607,2007,10/01/2007,1U,1L,0,12.432,4.384,1.096,0,0,9,0.123287671,73
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RAP,16,200708,2008,27/08/2007,2L,1L,1L,17.025,7.595,2.373,0,0,7,0.088607595,79
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RAP,18,200910,2010,22/11/2009,2U,1L,1L,20.25,4.808,2,0,0,14,0.215384615,65
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,19,201011,2011,28/01/2011,2U,1U,1L,22.018,7.349,2.349,0,0,6,0.072289157,83
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,23,201415,2015,4/03/2015,2L,1L,1L,19.653,5.361,1.583,48,0.533,7,0.077777778,90
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,27,201819,2019,20/02/2019,1U,1L,0,7.928,4.013,1.217,0,0,5,0.065789474,76
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RAP,28,201920,2020,11/02/2020,1U,1L,0,17.667,5.533,1.1,0,0,7,0.093333333,75
CA,M,PICKERSGILL REEF,15093S,-15.875,145.583333,RM,29,202021,2021,10/01/2021,3L,1L,0,34.784,7.932,0.34,0,0,10,0.12345679,81
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,3,199495,1995,30/09/1994,2U,,1L,32.167,,2,16,0.356,,,45
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,6,199798,1998,28/01/1998,2L,1L,1L,19.602,4.318,2.443,8,0.182,,,44
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,9,200001,2001,3/02/2001,2U,1L,1L,29.949,3.469,2.245,0,0,,,49
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,12,200304,2004,8/01/2004,2L,1L,1L,17.766,4.894,2.5,1,0.021,,,47
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,15,200607,2007,20/10/2006,2L,1L,1L,17.5,3.49,2.448,0,0,4,0.083333333,48
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,23,201415,2015,4/03/2015,1U,1L,1L,9.219,2.969,1.563,20,0.417,10,0.208333333,48
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RAP,28,201920,2020,10/02/2020,1L,1L,0,9.412,3.235,0.931,0,0,9,0.176470588,51
CA,M,EVENING REEF,15095S,-15.908333,145.658333,RM,29,202021,2021,10/01/2021,2U,1L,0,25.95,3.9,0.65,1,0.02,4,0.08,50
CA,M,MORNING REEF,15098S,-15.975,145.666667,RM,1,199293,1993,29/04/1993,3,,1,33.472,,4.444,0,0,,,18
CA,M,MORNING REEF,15098S,-15.975,145.666667,RM,15,200607,2007,21/10/2006,2L,1L,1L,16.667,7.381,2.5,0,0,5,0.238095238,21
CA,M,MORNING REEF,15098S,-15.975,145.666667,RM,17,200809,2009,12/11/2008,2U,1L,1L,24.844,4.792,2.5,0,0,5,0.208333333,24
CA,M,16013A,16013A,-16.013333,145.791667,RM,3,199495,1995,30/10/1994,3L,,0,27.083,,0.833,0,0,,,9
CA,M,16013A,16013A,-16.013333,145.791667,RM,6,199798,1998,27/01/1998,2U,1U,1L,25,8.333,1.944,0,0,,,9
CA,M,16013A,16013A,-16.013333,145.791667,RM,9,200001,2001,30/01/2001,2U,1L,1L,22.5,5.313,2.5,0,0,,,8
CA,M,16013A,16013A,-16.013333,145.791667,RM,12,200304,2004,6/01/2004,2U,2U,0,27.222,22.222,0.556,0,0,,,9
CA,M,16013A,16013A,-16.013333,145.791667,RM,15,200607,2007,21/10/2006,2U,1L,1L,21,3,1.5,0,0,1,0.1,10
CA,M,16013A,16013A,-16.013333,145.791667,RAP,28,201920,2020,8/02/2020,2U,1U,1L,21.389,8.333,2.5,0,0,10,1.111111111,9
CA,M,16013A,16013A,-16.013333,145.791667,RM,29,202021,2021,11/01/2021,2L,2L,0/1L,24.375,16.5,1.25,0,0,6,0.6,10
CA,M,16013B,16013B,-16.013333,145.8,RM,3,199495,1995,30/10/1994,3U,,1L,43.542,,2.083,0,0,,,6
CA,M,16013B,16013B,-16.013333,145.8,RM,6,199798,1998,27/01/1998,3U,1L,1L,39.286,3.929,1.786,0,0,,,7
CA,M,16013B,16013B,-16.013333,145.8,RM,9,200001,2001,30/01/2001,3U,1L,1L,43.333,2.5,2.5,0,0,,,6
CA,M,16013B,16013B,-16.013333,145.8,RM,12,200304,2004,6/01/2004,2U,1L,1L,23.333,3.333,2.5,0,0,,,6
CA,M,16013B,16013B,-16.013333,145.8,RM,15,200607,2007,21/10/2006,3U,1L,0,47.143,2.5,0,0,0,3,0.428571429,7
CA,M,16013B,16013B,-16.013333,145.8,RAP,28,201920,2020,8/02/2020,2U,1U,1L,25.357,6.071,1.786,0,0,2,0.285714286,7
CA,M,16013B,16013B,-16.013333,145.8,RM,29,202021,2021,11/01/2021,4L/4U,1L,0,64.531,2.5,0,0,0,1,0.125,8
CA,M,16013C,16013C,-16.03,145.803333,RM,3,199495,1995,30/10/1994,3U,,1L,35,,2.5,2,0.667,,,3
CA,M,16013C,16013C,-16.03,145.803333,RM,6,199798,1998,27/01/1998,2L/2U,1L/1U,1L,20.625,5,3.75,1,0.25,,,4
CA,M,16013C,16013C,-16.03,145.803333,RM,9,200001,2001,30/01/2001,1U,1L,1L,8.125,2.5,2.5,0,0,,,4
CA,M,16013C,16013C,-16.03,145.803333,RM,12,200304,2004,6/01/2004,1U,1L,1L,6.25,2.5,2.5,0,0,,,4
CA,M,16013C,16013C,-16.03,145.803333,RM,15,200607,2007,21/10/2006,1L/2L,1L,1L,8.75,2.5,1.875,0,0,2,0.5,4
CA,M,16013C,16013C,-16.03,145.803333,RAP,28,201920,2020,8/02/2020,1L,1L,0,3.75,2.5,0.625,0,0,1,0.25,4
CA,M,16013C,16013C,-16.03,145.803333,RM,29,202021,2021,11/01/2021,2L/2U,1L,0,22.5,3.75,0,0,0,,,4
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,1,199293,1993,13/06/1993,3,,1,35.435,,3.478,1,0.043,,,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,3,199495,1995,14/04/1995,3L,,1L,30.25,,1.625,2,0.1,,,20
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,4,199596,1996,8/01/1996,2U,,1L,28.25,,2.125,1,0.05,,,20
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,6,199798,1998,30/01/1998,2U,1L,1L,27.031,3.333,2.604,12,0.5,,,24
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,7,199899,1999,26/01/1999,2L,1U,1L,19.3,6.3,3,7,0.28,,,25
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,8,199900,2000,26/01/2000,2U,2L,1L,29.948,12.917,2.5,0,0,,,24
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,9,200001,2001,3/02/2001,2L,1L,1L,19.091,7.727,2.386,0,0,,,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,10,200102,2002,19/09/2001,2L/2U,1U/2L,1L,20.341,11.705,2.5,0,0,,,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,11,200203,2003,25/10/2002,2L,1L,1L,12.619,3.69,2.5,0,0,,,21
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,12,200304,2004,9/01/2004,2L,1U,1L,18.58,9.773,2.159,0,0,,,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,13,200405,2005,30/01/2005,2U,1L,1L,18.409,5.568,1.818,0,0,,,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RAP,14,200506,2006,24/11/2005,2U,1U,1L,21.364,6.818,1.818,0,0,8,0.363636364,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,15,200607,2007,11/01/2007,2U,1L,1L,24.605,5.263,1.316,0,0,0,0,19
CA,M,MACKAY REEF,16015S,-16.05,145.65,RAP,16,200708,2008,27/08/2007,2U,1L,1L,21.957,5.326,2.391,0,0,1,0.043478261,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,17,200809,2009,9/02/2009,2L/2U,1U,1L,26.146,8.333,2.917,0,0,3,0.125,24
CA,M,MACKAY REEF,16015S,-16.05,145.65,RAP,18,200910,2010,22/11/2009,2U,1L,1L,27.727,5.114,2.273,0,0,0,0,22
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,19,201011,2011,29/01/2011,2U,1U,1L,30.435,12.174,2.283,0,0,1,0.043478261,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,21,201213,2013,7/01/2013,2U,1U,1L,33.25,8.1,2.4,5,0.2,2,0.08,25
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,23,201415,2015,3/03/2015,1U/2L,1L,1L,14.583,4.375,2.188,24,1,3,0.125,24
CA,M,MACKAY REEF,16015S,-16.05,145.65,RAP,24,201516,2016,1/12/2015,2L,1U,0,14.643,7.5,0,0,0,0,0,21
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,25,201617,2017,4/12/2016,2L,1L,1L,13.696,6.63,2.174,0,0,3,0.130434783,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,27,201819,2019,19/02/2019,1U,1U,0,10.435,6.522,1.087,0,0,,,23
CA,M,MACKAY REEF,16015S,-16.05,145.65,RM,29,202021,2021,10/01/2021,2U,1U,1L,32.228,8.37,1.304,0,0,4,0.173913043,23
CA,M,16017S,16017S,-16.083333,145.725,RM,2,199394,1994,12/02/1994,3U,,1L,40.673,,1.731,2,0.154,,,13
CA,M,16017S,16017S,-16.083333,145.725,RM,8,199900,2000,27/01/2000,2L,1L,1L,17.647,4.265,2.5,17,1,,,17
CA,M,16017S,16017S,-16.083333,145.725,RM,11,200203,2003,28/10/2002,2L,1L,1L,15.833,4.333,2.5,0,0,,,15
CA,M,16017S,16017S,-16.083333,145.725,RM,15,200607,2007,12/01/2007,3L,1L,1L,31.75,3.167,2.167,0,0,6,0.4,15
CA,M,16017S,16017S,-16.083333,145.725,RAP,18,200910,2010,22/11/2009,3L,1L,1L,32.031,2.813,2.813,0,0,0,0,16
CA,M,16017S,16017S,-16.083333,145.725,RM,21,201213,2013,8/01/2013,2L,1L,1L,20.147,2.5,2.941,15,0.882,0,0,17
CA,M,16017S,16017S,-16.083333,145.725,RM,27,201819,2019,20/02/2019,2L,1L,0,13.833,2.333,1.167,0,0,4,0.266666667,15
CA,M,UNDINE REEF (WEST),16020A,-16.125,145.666667,RM,1,199293,1993,15/06/1993,1,,0,6.63,,1.522,2,0.043,,,46
CA,M,UNDINE REEF (WEST),16020A,-16.125,145.666667,RM,2,199394,1994,12/02/1994,1U,,0,11.007,,0.784,0,0,,,67
CA,M,UNDINE REEF (WEST),16020A,-16.125,145.666667,RM,3,199495,1995,30/10/1994,1U,,0,13.038,,0.764,2,0.028,,,72
CA,M,UNDINE REEF (WEST),16020A,-16.125,145.666667,RM,15,200607,2007,12/01/2007,1L,1L,0,4.356,5.947,0.909,0,0,10,0.151515152,66
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,1,199293,1993,15/06/1993,3,,0,36.579,,2.237,1,0.026,,,38
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,4,199596,1996,17/10/1995,2U,,1L,24.275,,1.9,3,0.06,,,50
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,7,199899,1999,26/01/1999,2L,1U,1L,13.023,9.826,3.14,48,1.116,,,43
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,10,200102,2002,11/09/2001,1U,1L,1L,10.698,6.279,1.86,0,0,,,43
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,13,200405,2005,31/01/2005,2L,1L,0/1L,15.781,4.635,1.25,0,0,,,48
CA,M,RUDDER REEF,16023S,-16.2,145.7,RM,15,200607,2007,21/10/2006,2L,1L,1L,18.171,7.622,2.195,1,0.024,5,0.12195122,41
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,5,199697,1997,26/01/1997,3U,,1L,36.25,,1.607,13,0.31,,,42
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,8,199900,2000,27/01/2000,1U,1U,1L,12.938,18.563,1.938,1,0.025,,,40
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,11,200203,2003,30/10/2002,1U/2L,1L,1L,10.438,10.688,1.563,0,0,,,40
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,15,200607,2007,22/10/2006,2L,1U,0,16.061,14.924,1.061,0,0,5,0.151515152,33
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RAP,18,200910,2010,22/11/2009,2U,1U,1L,25.116,9.186,2.326,0,0,1,0.023255814,43
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,21,201213,2013,11/01/2013,2L,1L,1L,20.163,12.011,1.467,2,0.043,1,0.02173913,46
CA,M,CHINAMAN REEF(16024),16024S,-16.208333,145.8,RM,27,201819,2019,21/02/2019,1U,1L,0,10.743,6.351,0.743,0,0,6,0.162162162,37
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,1,199293,1993,10/09/1992,1,,0,8.033,,0.82,0,0,,,61
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,4,199596,1996,14/01/1996,1L,,0,5.577,,0.538,0,0,,,65
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,7,199899,1999,1/02/1999,1L,1U,0,4.034,8.409,0.739,3,0.068,,,44
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,10,200102,2002,19/09/2001,1L,1U,0,4.035,8.246,1.14,1,0.018,,,57
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,13,200405,2005,31/01/2005,1L,1L,0,2.794,4.926,0.331,0,0,,,68
CA,M,TONGUE (2),16026S2,-16.316667,145.816667,RM,15,200607,2007,12/01/2007,1L,1L,0,3.468,6.371,0.524,0,0,7,0.112903226,62
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,1,199293,1993,25/05/1993,2,,0/1,19,,2.5,0,0,,,20
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,4,199596,1996,20/01/1996,2U,,0,23.571,,0.476,0,0,,,21
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,7,199899,1999,4/02/1999,3L,1U,1L,40,5.441,2.5,0,0,,,17
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,10,200102,2002,28/09/2001,2L,1L,0,23.125,3.5,1.125,0,0,,,20
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,13,200405,2005,26/01/2005,2U,1L,1L,26.08,4.886,2.159,0,0,,,22
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,15,200607,2007,22/10/2006,2L,1U,1L,14.375,11,1.75,0,0,3,0.15,20
CA,M,SAXON REEF,16032S,-16.466667,145.983333,RM,25,201617,2017,15/09/2016,2U/3L,2L,1L,30.5,16,2,0,0,13,0.65,20
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,1,199293,1993,28/04/1993,1,,0,21.136,,0.909,0,0,,,11
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,4,199596,1996,20/01/1996,2U,,1L,35.278,,1.667,0,0,,,9
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,7,199899,1999,4/02/1999,2U,1L,1L,28.542,4.583,2.292,0,0,,,12
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,10,200102,2002,11/09/2001,2L,1L,1L,16.923,3.269,2.115,0,0,,,13
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,13,200405,2005,26/01/2005,3U,1L,1L,41.932,2.5,2.5,0,0,,,11
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RM,15,200607,2007,22/10/2006,2L/2U,1L,1L,20.208,2.5,2.5,0,0,0,0,12
CA,M,PIXIE REEF,16040S,-16.55,145.858333,RAP,18,200910,2010,25/11/2009,3U,1L,1L,44.25,2.5,2.5,0,0,0,0,10
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,1,199293,1993,28/04/1993,1,,0,6.528,,0.556,0,0,,,36
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,4,199596,1996,23/01/1996,1U,,0,9.333,,1,0,0,,,30
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,7,199899,1999,3/02/1999,1U,1U,1L,8.298,10.213,1.915,13,0.277,,,47
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,10,200102,2002,11/09/2001,1L,1U,0,2.798,15.476,0.595,1,0.024,,,42
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,13,200405,2005,26/01/2005,1U,1U,0,6.463,12.5,0.671,0,0,,,41
CA,M,OYSTER REEF,16043A,-16.633333,145.933333,RM,15,200607,2007,5/01/2007,1L,2L,0,4.214,16.714,0.786,0,0,1,0.028571429,35
CA,M,VLASOFF REEF,16044B,-16.65,146,RM,2,199394,1994,15/02/1994,1U,,0,7.214,,1.143,0,0,,,35
